INCOME,AGE_IN_YEARS,HAS_CHILDREN,RENTER,OWNER,GOOD_CREDIT,COLLEGE_DEGREE,AVG_DIST_FROM_HOME,MILLENIAL,MID_LEVEL_AUTO,DISTANCE_FROM_HOME,TRAVELER,TIME_OF_DAY,BUY_LABEL
125000.0075,42.394906,0.0,0,1,1,0,0.0,0,0,9,0,13,NOT_BUY
80372.18387539941,55.451402217787795,0.0,0,0,1,0,0.0,0,0,3,0,12,NOT_BUY
87500.0037,80.896239,0.0,0,1,1,0,0.06000000000000005,0,0,5,0,13,NOT_BUY
87500.0048,70.811097,0.0,0,1,1,0,0.08000000000000007,0,0,3,0,7,NOT_BUY
87500.0036,87.475195,0.0,0,1,1,0,0.08999999999999986,0,0,3,0,7,BUY
80372.1807753994,44.14393,0.0,0,1,1,0,0.120000000000001,0,1,9,0,14,BUY
62500.0065,72.313139,0.0,0,1,0,0,0.1399999999999999,0,0,3,0,19,NOT_BUY
87500.0063,35.477895000000004,0.0,0,1,1,1,0.14000000000000057,0,0,1,0,11,NOT_BUY
62500.0086,84.649257,1.0,0,1,1,0,0.14000000000000057,0,0,8,0,10,NOT_BUY
87500.0087,89.14764600000001,0.0,0,1,1,0,0.15000000000000036,0,0,8,0,9,NOT_BUY
125000.0025,62.140761,1.0,0,1,1,1,0.15000000000000036,0,0,1,0,19,NOT_BUY
27500.0012,58.388605999999996,0.0,0,1,1,0,0.15999999999999992,0,1,6,0,19,NOT_BUY
125000.0064,77.479364,0.0,0,1,1,0,0.16000000000000014,0,0,9,0,9,NOT_BUY
87500.0086,37.566437,1.0,0,1,1,0,0.17999999999999972,0,1,4,0,16,NOT_BUY
70000.0064,43.477995,1.0,0,1,1,1,0.17999999999999972,0,0,1,0,18,NOT_BUY
80372.17747539941,55.445002217787795,0.0,0,0,0,0,0.1999999999999993,0,1,523,1,13,NOT_BUY
70000.0051,55.4491022177878,0.0,1,0,1,0,0.22000000000000064,0,0,2,0,19,NOT_BUY
80372.18447539941,55.4520022177878,0.0,0,0,1,0,0.2400000000000002,0,0,3,0,11,NOT_BUY
87500.0071,30.813397000000002,0.0,0,0,0,1,0.28000000000000114,1,0,7,0,14,BUY
47500.008,42.732162,0.0,0,1,1,1,0.35000000000000053,0,1,9,0,10,BUY
80372.1859753994,50.566653,1.0,0,1,1,1,0.35999999999999943,0,0,169,1,7,BUY
87500.0088,55.4528022177878,0.0,0,1,1,0,0.35999999999999943,0,0,8,0,9,BUY
57500.0053,42.811597,1.0,0,1,1,0,0.35999999999999943,0,1,3,0,14,NOT_BUY
70000.0068,38.646088,1.0,0,1,1,1,0.35999999999999943,0,0,2,0,8,NOT_BUY
22500.0086,52.482248,1.0,0,0,0,0,0.39000000000000057,0,1,7,0,16,BUY
70000.0093,61.734146,0.0,0,1,1,0,0.39999999999999947,0,0,4,0,18,NOT_BUY
80372.1812753994,55.4488022177878,0.0,0,0,1,0,0.4400000000000013,0,1,6,0,15,NOT_BUY
52500.0016,58.389006,0.0,0,1,0,1,0.45999999999999996,0,1,7,0,8,NOT_BUY
27500.0078,98.31307,0.0,0,1,1,0,0.52,0,1,2,0,14,NOT_BUY
125000.0074,67.144977,0.0,0,1,1,1,0.5599999999999996,0,0,4,0,13,NOT_BUY
32500.0074,59.144977,0.0,0,1,1,1,0.5800000000000001,0,1,7,0,9,NOT_BUY
70000.005,93.729846,0.0,0,1,1,0,0.5800000000000001,0,0,93,1,18,NOT_BUY
12500.0091,62.648388,0.0,0,1,0,1,0.5900000000000001,0,1,8,0,16,BUY
47500.0083,75.479895,0.0,0,1,1,1,0.61,0,1,2,0,19,NOT_BUY
87500.0048,59.728277000000006,0.0,0,1,1,0,0.629999999999999,0,0,4,0,18,NOT_BUY
62500.0022,45.560037,0.0,0,1,1,1,0.629999999999999,0,0,6,0,12,NOT_BUY
37500.0041,79.97398399999999,0.0,0,0,1,0,0.6599999999999999,0,1,8,0,16,NOT_BUY
32500.0027,55.446702217787795,0.0,0,0,0,0,0.6600000000000001,0,1,6,0,12,BUY
80372.18327539941,63.478395,0.0,0,0,1,1,0.6600000000000001,0,1,5,0,14,NOT_BUY
80372.17837539941,55.4459022177878,0.0,0,0,1,0,0.6999999999999993,0,0,1,0,7,BUY
80372.17927539941,55.4468022177878,0.0,0,1,0,0,0.6999999999999993,0,1,1,0,11,NOT_BUY
62500.0019,71.72537700000001,0.0,0,1,1,0,0.7,0,0,4,0,6,NOT_BUY
250000.0095,62.97733,0.0,0,1,1,1,0.7000000000000002,0,0,3,0,8,NOT_BUY
